2021-12-10 18:26:37.593 9788-9788/? A/libc: Fatal signal 4 (SIGILL), code 1 (ILL_ILLOPC), fault addr 0xbfa0f7a2 in tid 9788 (om.demo.mashiro), pid 9788 (om.demo.mashiro)
2021-12-10 18:26:37.629 9846-9846/? E/DEBUG: failed to readlink /proc/9788/fd/74: No such file or directory
2021-12-10 18:26:37.651 9846-9846/? A/DEBUG: *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** ***
2021-12-10 18:26:37.651 9846-9846/? A/DEBUG: Build fingerprint: 'Xiaomi/umi/umi:11/RKQ1.200826.002/V12.5.3.0.RJBCNXM:user/release-keys'
2021-12-10 18:26:37.651 9846-9846/? A/DEBUG: Revision: '0'
2021-12-10 18:26:37.651 9846-9846/? A/DEBUG: ABI: 'arm'
2021-12-10 18:26:37.652 9846-9846/? A/DEBUG: Timestamp: 2021-12-10 18:26:37+0800
2021-12-10 18:26:37.652 9846-9846/? A/DEBUG: pid: 9788, tid: 9788, name: om.demo.mashiro  >>> com.demo.mashiro <<<
2021-12-10 18:26:37.652 9846-9846/? A/DEBUG: uid: 10499
2021-12-10 18:26:37.652 9846-9846/? A/DEBUG: signal 4 (SIGILL), code 1 (ILL_ILLOPC), fault addr 0xbfa0f7a2 (*pc=0xb5d0defe)
2021-12-10 18:26:37.652 9846-9846/? A/DEBUG:     r0  efd8f5a0  r1  ffc77acc  r2  00430000  r3  00000000
2021-12-10 18:26:37.652 9846-9846/? A/DEBUG:     r4  d09aa45c  r5  00000030  r6  c24df02f  r7  00000002
2021-12-10 18:26:37.652 9846-9846/? A/DEBUG:     r8  00000000  r9  efd58e00  r10 ffc77b80  r11 ffc77b44
2021-12-10 18:26:37.652 9846-9846/? A/DEBUG:     ip  bfa0f7a3  sp  ffc77ac0  lr  c1f28055  pc  bfa0f7a2
2021-12-10 18:26:37.675 600-600/? E/SELinux: avc:  denied  { find } for pid=5849 uid=10208 name=tethering scontext=u:r:vendor_systemhelper_app:s0:c512,c768 tcontext=u:object_r:tethering_service:s0 tclass=service_manager permissive=0
2021-12-10 18:26:37.798 9846-9846/? A/DEBUG: backtrace:
2021-12-10 18:26:37.798 9846-9846/? A/DEBUG:       #00 pc 000007a2  /data/app/~~TH9BaljvRUepBmB8kOqslg==/com.demo.mashiro-N3ALJlMmTxU-6ISd7XkR8A==/lib/arm/libmyNativeCrash.so (Java_com_demo_nativecrash_MyNativeCrash_nullPointer) (BuildId: 65011d77daae896334fb714c7662fabb66359460)
2021-12-10 18:26:37.798 9846-9846/? A/DEBUG:       #01 pc 0001e053  /data/app/~~TH9BaljvRUepBmB8kOqslg==/com.demo.mashiro-N3ALJlMmTxU-6ISd7XkR8A==/oat/arm/base.odex (art_jni_trampoline+74)
2021-12-10 18:26:37.798 9846-9846/? A/DEBUG:       #02 pc 000d3bd5  /apex/com.android.art/lib/libart.so (art_quick_invoke_stub_internal+68) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.798 9846-9846/? A/DEBUG:       #03 pc 004f8571  /apex/com.android.art/lib/libart.so (art_quick_invoke_stub+280) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #04 pc 0012c29f  /apex/com.android.art/lib/libart.so (art::ArtMethod::Invoke(art::Thread*, unsigned int*, unsigned int, art::JValue*, char const*)+142) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #05 pc 0024069f  /apex/com.android.art/lib/libart.so (art::interpreter::ArtInterpreterToCompiledCodeBridge(art::Thread*, art::ArtMethod*, art::ShadowFrame*, unsigned short, art::JValue*)+250) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #06 pc 00238ba7  /apex/com.android.art/lib/libart.so (bool art::interpreter::DoCall<false, false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, art::JValue*)+746) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #07 pc 004efac3  /apex/com.android.art/lib/libart.so (MterpInvokeVirtualQuick+598) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #08 pc 000d2394  /apex/com.android.art/lib/libart.so (mterp_op_invoke_virtual_quick+20) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #09 pc 002bae1a  /data/app/~~TH9BaljvRUepBmB8kOqslg==/com.demo.mashiro-N3ALJlMmTxU-6ISd7XkR8A==/oat/arm/base.vdex (com.demo.nativecrash.MyCrashActivity.onCreate$lambda-0+14)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #10 pc 0023195f  /apex/com.android.art/lib/libart.so (art::interpreter::Execute(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame&, art::JValue, bool, bool) (.llvm.12496560826802137605)+250) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
2021-12-10 18:26:37.799 9846-9846/? A/DEBUG:       #11 pc 002383d7  /apex/com.android.art/lib/libart.so (art::interpreter::ArtInterpreterToInterpreterBridge(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame*, art::JValue*)+138) (BuildId: 5daabdd9f0988e2bfad40d5fc72a9868)
